ADDRESS,LINK
181 Tanglewood Draw Princeton   TX 75407,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1148655
905 Stags Leap Dr McKinney   TX 75071,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149063
203 Edison Ln Wylie   TX 75098,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149103
2205 Susan Cir Plano   TX 75074,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149260
604 Jouette St Farmersville   TX 75442,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1147900
9688 Wyndbrook Dr Frisco   TX 75035,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149827
4040 Chimney Rock Dr Prosper   TX 75078,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1148951
7009 Tilbury Ct McKinney   TX 75071,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149537
9956 Thomas Jefferson Dr McKinney   TX 75072,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1147516
7964 Quest Ct Frisco   TX 75035,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149066
603 Pickwick Ln Wylie   TX 75098,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1147517
1700 Debbie Dr Plano   TX 75074,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1148932
7310 Highland Glen Trl Dallas   TX 75248,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1147916
